4498		18873143		False
9244		84087929		True
3152		8577589		True
8181		65566217		False
738		810457		True
1402		609839		False
8453		70090393		True
5834		32675359		True
6418		39829943		True
5775		31990487		True
9731		93328267		True
8348		68326393		True
3140		8502097		True
1278		277643		True
100		1344463		True
3547		11223299		False
5296		26687957		False
5934		33852059		True
1583		1149943		True
7040		48200197		False
5885		33272977		True
5239		26087519		False
5996		34591657		True
5200		25680437		False
4970		23341567		False
5544		29376029		False
9846		95579507		False
8319		67843079		True
4287		17019719		False
3280		9400757		False
5251		26213387		False
1068		214807		True
4534		19198259		True
2893		7012193		True
4834		22008359		False
7933		61570193		True
1581		1143617		False
3214		8972219		True
3124		8401889		False
488		1116707		False
2157		3296129		True
1700		1533937		True
68		1349807		True
1032		290371		False
9123		81865643		False
2834		6674359		True
2475		4768787		False
424		1175011		False
368		1219307		True
6933		46705193		True
3726		12524987		False
4476		18675737		False
1129		80851		False
4100		15451537		True
4925		22896337		True
3197		8863249		True
8241		66551477		False
1437		709169		False
1136		65003		True
6256		37776917		False
9614		91065019		False
4610		19893127		True
3468		10669193		False
653		928607		True
6484		40681409		False
6676		43207937		True
1529		981949		True
1709		1564609		False
976		402763		True
2136		3205997		True
7012		47806769		False
5448		28320893		True
47		1352201		True
7861		60433097		True
5041		24052277		False
3552		11258789		True
9540		89647697		True
2314		3997919		True
3247		9185399		True
2034		2780759		False
1415		646447		False
597		998551		True
2753		6221893		False
7116		49275977		True
8484		70615409		False
9809		94852309		True
8466		70310327		False
8022		62990099		True
7632		56885429		True
5721		31369757		False
7019		47904979		False
7434		53902559		False
7302		51957539		False
9097		81391949		True
3099		8246339		False
1570		1108967		True
8001		62653637		False
4222		16466699		False
5196		25638857		True
9833		95323693		True
